annu_audios,annu_sign_text
The_Alameda,The Alameda
87th Ave,87th Ave.
No_4200,4200
Brandon_St,Brandon St.
Belrose_Ave,Belrose Ave.
Bridge_Rd,Bridge Road
60th_St,60th St.
Haviland_Ave,Haviland Ave.
Highland_Way,Highland Way
Anita_Ave,Anita Ave.
49th_St,49th St.
Eastshore_Blvd,Eastshore Blvd.
Normandy_Dr,Normandy Dr.
Walnut_St,Walnut St.
Kirk_Ln,Kirk Lane
Georgia_Way_NB,Georgia Way
W_Midway_Ave,West Midway Ave.
Escuela_Pkwy,Escuela Parkway
WEST_HORNET_AVE,West Hornet Ave.
Birch_St,Birch St.
Maple_Ave,Maple Ave.
Meeker_Ave,Meeker Ave.
Bonde_Way,Bonde Way
Caperton_Ave,Caperton Ave.
Milmar_Blvd,Milmar Blvd.
Alvarado-Niles_Rd,Alvarado-Niles Road
Peralta_Blvd,Peralta Blvd.
Ash_St,Ash St.
Nome_St,Nome St.
Silver_Ave,Silver Ave.
Estrella_Ave,Estrella Ave.
Balentine_Dr,Balentine Dr.
Klose_Way,Klose Way
Kings_Ct,Kings Ct.
Broadway_Ave,Broadway Ave.
101st_Ave,101st Ave.
Kohoutek_Way,Kohoutek Way
Harvard_Rd,Harvard Road
Naval Medical Center site,Naval Medical Center site
Stewart_Ave,Stewart Ave.
Bockman_Rd,Bockman Road
Via_Enrico,Via Enrico
Medical_Offices,Medical Offices
Virginia_St,Virginia St.
Bermuda_Way,Bermuda Way
Burkhart_Ave,Burkhart Ave.
Pendleton_Way,Pendleton Way
Haas_Ave,Haas Ave.
Perkins_St,Perkins St.
Helo_Dr,Helo Dr.
Pearl_Ave,Pearl Ave.
Centennial_Hall,Centennial Hall
53rd_St,53rd St.
No_5209,5209
Dusterberry_Way,Dusterberry Way
Wildwood_Ave,Wildwood Ave.
Martin_Luther_King_Jr_Way,Martin Luther King Jr. Way
Godfrey_Pl,Godfrey Pl.
