c_abbrev9,c_city,c_description,c_description_len,c_destination,c_temp,cx_description_city,cx_destination_city,h_loca_latitude,h_loca_longitude,h_plc_description,h_plc_district,h_plc_identifier,h_plc_number,h_plc_reference_place,i_abbrev9,i_city,i_description,o_abbrev9,o_city,o_description,o_destination,u_nonpublic,u_plc_notes,ux_usecity_description,ux_usecity_destination
HAYW HIGH,Hayward,Hayward High School,19,Hayward High School,2,Hayward High School,Hayward High School,37.6712215,-122.0703136,Hayward High School,08,HAHI,HAYWHIGH,,HAYW HIGH,Hayward,Hayward High School,,,,,,,,0
HEYE MADI,Castro Valley,Heyer Ave. & Madison Ave.,25,Heyer Ave. & Madison Ave.,0,"Heyer Ave. & Madison Ave., Castro Valley","Heyer Ave. & Madison Ave., Castro Valley",37.7041289,-122.0645223,Heyer Ave. & Madison Ave.,98,HEMA,HEYEMADI,,HEYE MADI,Alameda County,Heyer Ave. & Madison Ave.,,Castro Valley,Heyer Ave. & Madison Ave.,,,,1,1
CNTR C.V.,Castro Valley,Center St. & Castro Valley Blvd.,32,Center St. & Castro Valley Blvd.,0,"Center St. & Castro Valley Blvd., Castro Valley","Center St. & Castro Valley Blvd., Castro Valley",37.6939603,-122.0626309,Center St. & Castro Valley Blvd.,98,CNCV,CNTRC.V.,,CNTR C.V.,Alameda County,Center St. & Castro Valley Blvd.,,Castro Valley,Center St. & Castro Valley Blvd.,,,,1,1
CREK MDDL,Castro Valley,Creekside Middle School,23,Creekside Middle School,0,"Creekside Middle School, Castro Valley","Creekside Middle School, Castro Valley",37.6992366,-122.0615163,Creekside Middle School,98,CREK,CREKMDDL,,CREK MDDL,Alameda County,Creekside Middle School,,Castro Valley,,,,,1,1
C.V. PKRD,Castro Valley,Castro Valley Park and Ride,27,Castro Valley Park and Ride,1,Castro Valley Park and Ride,Castro Valley Park and Ride,37.6912169,-122.0623873,Castro Valley Park and Ride,98,CVPR,C.V.PKRD,,C.V. PKRD,Alameda County,Castro Valley Park and Ride,,Castro Valley,Castro Valley Park and Ride,,,,,0
D ST MAUD,Fairview,D St. & Maud Ave.,17,D St. & Maud Ave.,2,"D St. & Maud Ave., Fairview","D St. & Maud Ave., Fairview",37.6791316,-122.0509067,D St. & Maud Ave.,98,DSMA,D STMAUD,,D ST MAUD,Alameda County,D St. & Maud Ave.,,Fairview,D St. & Maud Ave.,,,,1,1
KELY EDDY,Fairview,Kelly St. & Eddy St.,20,Fairview District,2,"Kelly St. & Eddy St., Fairview",Fairview District,37.6863585,-122.0477934,Kelly St. & Eddy St.,98,KEED,KELYEDDY,,KELY EDDY,Alameda County,Kelly St. & Eddy St.,,Fairview,,Fairview District,,,1,
DONC PARK,Alameda County,Don Castro Regional Park,24,Don Castro Regional Park,0,"Don Castro Regional Park, Alameda County","Don Castro Regional Park, Alameda County",37.6920781,-122.0533522,Don Castro Regional Park,98,DOPK,DONCPARK,,DONC PARK,Alameda County,Don Castro Regional Park,,,Don Castro Regional Park,,,,1,1
CHBO 7HIL,Castro Valley,Lake Chabot Road & Seven Hills Road,35,Lake Chabot Road & Seven Hills Road,0,"Lake Chabot Road & Seven Hills Road, Castro Valley","Lake Chabot Road & Seven Hills Road, Castro Valley",37.7101631,-122.0917262,Lake Chabot Road & Seven Hills Road,98,CH7H,CHBO7HIL,,CHBO 7HIL,Alameda County,Lake Chabot Road & Seven Hills Road,,Castro Valley,Lake Chabot Road & Seven Hills Road,,,,1,1
7HIL REDW,Castro Valley,Seven Hills Road & Redwood Road,31,Seven Hills Road & Redwood Road,0,"Seven Hills Road & Redwood Road, Castro Valley","Seven Hills Road & Redwood Road, Castro Valley",37.7096269,-122.0739696,Seven Hills Road & Redwood Road,98,7HRE,7HILREDW,,7HIL REDW,Alameda County,Seven Hills Road & Redwood Road,,Castro Valley,Seven Hills Road & Redwood Road,,,,1,1
C.V. SRCN,Castro Valley,Castro Valley Senior Center,27,Castro Valley Senior Center,0,"Castro Valley Senior Center, Castro Valley","Castro Valley Senior Center, Castro Valley",37.7152498,-122.0736966,Castro Valley Senior Center,98,CVSC,C.V.SRCN,,C.V. SRCN,Alameda County,Castro Valley Senior Center,,Castro Valley,,,,,1,1
SILL CNTR,Newark,Silliman Center,15,Silliman Center,2,"Silliman Center, Newark","Silliman Center, Newark",37.5174385,-122.0109165,Silliman Center,09,SICR,SILLCNTR,,SILL CNTR,Newark,Silliman Center,,,,,,,1,1
